City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Iqaluit,63.75,-68.51,5.0,77,20,6.93,CA,1605982564
Berezovyy,51.67,135.7,11.61,84,25,9.17,RU,1605983094
Camacupa,-12.02,17.48,64.18,95,83,0.56,AO,1605983095
Imbituba,-28.24,-48.67,71.6,68,75,11.41,BR,1605983096
Paka,4.64,103.44,77.0,94,100,3.36,MY,1605983097
Cabra,37.47,-4.44,59.0,65,3,1.99,ES,1605983098
Stornoway,58.21,-6.39,42.8,81,65,18.34,GB,1605983099
College,64.86,-147.8,8.01,75,40,5.08,US,1605982896
Port Elizabeth,-33.92,25.57,69.8,68,0,12.75,ZA,1605983102
Severobaykal'sk,55.65,109.32,16.18,92,100,6.29,RU,1605983103
Bariloche,-41.15,-71.31,53.6,62,75,24.16,AR,1605982751
Asunción,-25.3,-57.64,91.4,24,20,5.82,PY,1605983105
Chengde,40.97,117.94,21.6,91,100,4.99,CN,1605983107
Abu Dhabi,24.47,54.37,78.8,61,0,4.7,AE,1605983108
Constitución,-35.33,-72.42,62.38,59,60,12.73,CL,1605983109
Lanzhou,36.06,103.79,21.0,66,100,2.82,CN,1605983110
Shreveport,32.53,-93.75,78.8,60,20,8.05,US,1605982843
Mar del Plata,-38.0,-57.56,69.8,73,40,17.22,AR,1605983112
Haines Junction,60.75,-137.51,-7.6,83,100,3.36,CA,1605983113
Kidal,18.44,1.41,73.98,19,0,8.19,ML,1605982797
Nurobod,40.91,69.8,26.6,73,0,4.7,UZ,1605983116
Te Anau,-45.42,167.72,42.96,87,83,2.42,NZ,1605982848
Oriximiná,-1.77,-55.87,91.45,51,58,3.27,BR,1605983118
Shubarkuduk,49.14,56.49,17.96,91,50,7.14,KZ,1605983119
Vao,-22.67,167.48,72.01,80,6,14.5,NC,1605983120
Praia da Vitória,38.73,-27.07,64.4,88,40,9.19,PT,1605982798
Dakoro,14.51,6.76,75.0,25,12,3.56,NE,1605983122
Hong Kong,22.29,114.16,73.0,93,35,1.01,HK,1605982701
Santa Maria,-29.68,-53.81,78.8,47,20,10.29,BR,1605983018
Aklavik,68.22,-135.01,-2.2,84,20,8.05,CA,1605982820
Liwale,-9.77,37.93,76.53,73,5,7.76,TZ,1605983126
Sibolga,1.74,98.78,75.78,82,100,3.18,ID,1605983127
Barra Patuca,15.8,-84.28,81.03,82,99,4.47,HN,1605983128
Ginir,7.13,40.7,57.56,57,23,3.51,ET,1605983129
Malbork,54.04,19.03,37.99,100,100,20.33,PL,1605983131
Tambopata,-12.73,-69.18,91.4,49,20,3.36,PE,1605983132
Baillif,16.02,-61.75,84.2,70,40,19.46,GP,1605983133
Meulaboh,4.14,96.13,74.64,95,100,7.61,ID,1605983134
São João da Barra,-21.64,-41.05,75.2,78,75,13.87,BR,1605983006
East London,-33.02,27.91,84.2,39,0,8.05,ZA,1605983136
Puerto del Rosario,28.5,-13.86,73.4,53,0,8.05,ES,1605983137
Vaasa,63.1,21.62,35.6,100,90,8.05,FI,1605983138
Vila Franca do Campo,37.72,-25.43,64.4,82,20,13.87,PT,1605983139
Castro,-24.79,-50.01,69.71,66,29,6.08,BR,1605983088
Nanortalik,60.14,-45.24,26.67,89,21,8.12,GL,1605983141
Nagapattinam,10.77,79.83,76.84,80,22,9.86,IN,1605983142
Sulangan,11.14,123.72,82.72,78,53,17.96,PH,1605983143
Siemiatycze,52.43,22.86,32.0,81,46,3.0,PL,1605983115
Leningradskiy,69.38,178.42,21.18,97,99,2.86,RU,1605982550
Vung Tau,10.35,107.08,80.31,78,23,19.48,VN,1605983147
Weston,26.1,-80.4,84.0,69,90,16.11,US,1605982918
Bilma,18.69,12.92,68.34,26,0,5.5,NE,1605983149
Tasiilaq,65.61,-37.64,26.6,63,20,9.17,GL,1605983150
Qasigiannguit,68.82,-51.19,23.0,62,40,19.46,GL,1605983151
Korla,41.76,86.15,20.59,81,29,3.33,CN,1605983022
Dalby,-27.18,151.27,61.0,84,0,6.93,AU,1605983153
Nouadhibou,20.93,-17.03,80.6,42,100,2.24,MR,1605983154
Dikson,73.51,80.55,16.88,96,94,15.43,RU,1605983156
Chikmagalūr,13.32,75.78,60.87,68,97,5.17,IN,1605983157
Esperance,-33.87,121.9,53.6,93,75,3.36,AU,1605983158
Aquiraz,-3.9,-38.39,84.2,70,75,14.99,BR,1605983159
Mandera,3.94,41.87,88.02,33,84,3.71,KE,1605983160
Togur,58.36,82.83,26.28,98,100,8.84,RU,1605983161
Quelimane,-17.88,36.89,80.6,78,20,11.41,MZ,1605983162
Auki,-8.77,160.7,77.07,83,62,4.85,SB,1605982588
Assiut,27.18,31.18,62.6,59,0,11.41,EG,1605983164
Lompoc,34.64,-120.46,68.0,36,1,2.19,US,1605983001
Ust-Kuyga,70.02,135.6,-12.8,87,32,8.75,RU,1605983167
Pilar,-9.6,-35.96,86.0,55,0,14.99,BR,1605982804
Avarua,-21.21,-159.78,78.8,88,100,6.93,CK,1605983169
Garden City,42.33,-83.33,46.99,52,75,6.93,US,1605982928
Uyuni,-20.46,-66.83,62.4,14,0,15.23,BO,1605983015
Laas,46.62,10.7,37.99,68,5,3.36,IT,1605983172
Hazorasp,41.32,61.07,17.6,61,0,9.17,UZ,1605983173
Lebu,-37.62,-73.65,58.44,73,100,9.91,CL,1605983174
Zhigansk,66.77,123.37,-4.07,91,100,20.4,RU,1605983175
Pundaguitan,6.37,126.17,83.39,72,39,8.52,PH,1605983176
Machilipatnam,16.17,81.13,78.01,75,23,5.53,IN,1605983177
Fortuna,40.6,-124.16,51.01,93,1,8.05,US,1605983178
Dumai,1.68,101.45,75.24,93,100,1.63,ID,1605983180
Matara,5.95,80.54,76.48,84,100,2.06,LK,1605983181
Caravelas,-17.71,-39.25,73.72,88,99,8.9,BR,1605983182
Saskylakh,71.92,114.08,-0.83,90,67,13.87,RU,1605983184
Padang,-0.95,100.35,77.0,83,100,4.41,ID,1605983185
Grindavik,63.84,-22.43,33.8,100,75,9.17,IS,1605983186
Lata,40.16,-8.33,62.6,45,0,4.7,PT,1605982904
Cherskiy,68.75,161.3,6.19,95,100,4.12,RU,1605983188
Kitui,-1.37,38.01,68.02,84,77,4.52,KE,1605983189
The Valley,18.22,-63.06,86.0,70,20,19.46,AI,1605982654
Garoowe,8.41,48.48,80.17,40,100,14.7,SO,1605983191
Qaqortoq,60.72,-46.03,17.6,57,20,2.24,GL,1605983192
Solnechnyy,50.72,136.63,12.9,80,72,9.86,RU,1605983193
Keti Bandar,24.14,67.45,73.17,42,0,6.69,PK,1605983194
The Pas,53.83,-101.25,10.4,78,1,8.05,CA,1605983195
Cururupu,-1.83,-44.87,88.3,53,19,8.23,BR,1605982976
Dhidhdhoo,6.88,73.1,83.32,68,31,3.87,MV,1605983197
Bathsheba,13.22,-59.52,86.0,66,40,25.28,BB,1605982855
Hobyo,5.35,48.53,79.56,78,99,10.38,SO,1605983199
Waipawa,-41.41,175.52,51.8,81,82,16.11,NZ,1605983201
Sisophon,13.59,102.97,76.87,89,71,2.44,KH,1605983202
Putina,-15.47,-69.43,55.87,40,5,10.71,PE,1605983203
Healdsburg,38.61,-122.87,62.01,75,20,1.34,US,1605983018
Manzhouli,49.6,117.43,4.89,91,0,10.04,CN,1605983205
Nokaneng,-19.67,22.27,76.51,67,78,3.02,BW,1605983206
Fort Nelson,58.81,-122.7,-13.0,83,20,2.24,CA,1605982506
Veranópolis,-28.94,-51.55,73.0,55,24,5.99,BR,1605983208
Rivadavia,-33.19,-68.46,78.8,26,0,6.93,AR,1605983209
San Juan,-31.54,-68.54,80.78,27,0,5.17,AR,1605982948
Bad Oldesloe,53.81,10.37,46.0,96,100,1.99,DE,1605983211
Bandarbeyla,9.49,50.81,76.41,74,83,19.46,SO,1605983213
Ondjiva,-17.07,15.73,76.53,60,86,4.94,AO,1605983214
Amos,48.57,-78.12,21.99,85,90,6.93,CA,1605983215
Mizdah,31.45,12.98,55.45,64,55,6.17,LY,1605983216
Launceston,-41.45,147.17,55.4,82,90,5.82,AU,1605983217
Diébougou,10.97,-3.25,84.07,18,2,3.94,BF,1605983219
Rebrikha,53.07,82.34,19.18,94,100,10.2,RU,1605983220
Muli,2.92,73.57,83.01,77,100,10.78,MV,1605983221
Longyearbyen,78.22,15.64,19.4,79,75,2.24,SJ,1605983222
Lumphat,13.49,106.98,71.47,86,0,4.5,KH,1605983223
Udachny,66.42,112.4,6.8,92,90,6.71,RU,1605982761
Lagoa,39.05,-27.98,62.82,86,100,13.09,PT,1605983225
Souillac,-20.52,57.52,71.6,83,20,5.82,MU,1605983226
Woodstock,43.13,-80.75,41.0,56,95,8.05,CA,1605983017
Tongliao,43.61,122.27,7.95,90,39,8.46,CN,1605982788
Manado,1.49,124.85,75.2,94,20,1.12,ID,1605982789
Sitka,57.05,-135.33,42.8,70,90,24.16,US,1605983230
Kahului,20.89,-156.47,78.8,74,75,13.87,US,1605983110
Cheney,47.49,-117.58,37.99,100,1,5.82,US,1605983232
Saint-Augustin,51.23,-58.65,33.69,89,95,12.21,CA,1605983234
Kargasok,59.06,80.86,27.84,97,100,8.59,RU,1605983235
Gamba,-2.65,10.0,77.49,86,100,8.37,GA,1605983236
Torbay,47.67,-52.73,48.99,93,75,25.28,CA,1605983237
Atar,20.52,-13.05,83.01,17,100,10.67,MR,1605982822
Manhumirim,-20.36,-41.96,72.43,76,96,2.73,BR,1605983239
Khatanga,71.97,102.5,23.05,98,100,12.88,RU,1605983240
Tiksi,71.69,128.87,-4.31,90,8,8.01,RU,1605983241
Kindu,-2.95,25.95,69.82,97,72,2.57,CD,1605983242
Post Falls,47.72,-116.95,39.99,69,1,6.93,US,1605983107
Mamlyutka,54.94,68.54,15.28,94,4,8.41,KZ,1605983244
Alyangula,-13.85,136.42,75.2,94,7,3.36,AU,1605982738
Simao,22.79,100.97,55.09,80,0,1.95,CN,1605983247
La Ronge,55.1,-105.28,12.2,78,37,3.36,CA,1605983248
Talnakh,69.49,88.4,23.0,85,75,13.42,RU,1605982655
Cockburn Town,21.46,-71.14,78.4,76,100,3.69,TC,1605982668
Sumkino,58.11,68.32,20.21,96,61,7.63,RU,1605983251
Alofi,-19.06,-169.92,77.0,94,100,5.82,NU,1605983252
Bambous Virieux,-20.34,57.76,73.0,83,20,5.82,MU,1605983253
Igurubi,-4.0,33.7,77.68,56,69,9.42,TZ,1605983254
Itupiranga,-5.13,-49.33,89.6,62,75,6.93,BR,1605983255
Jalu,29.03,21.55,66.25,54,78,9.28,LY,1605983256
Sarkand,45.41,79.92,15.1,74,42,3.06,KZ,1605983257
Sechura,-5.56,-80.82,78.37,45,21,13.31,PE,1605983258
NEDJO,9.5,35.5,61.09,63,0,4.32,ET,1605983259
Beitbridge,-22.22,30.0,84.24,39,40,13.71,ZW,1605983261
Talara,-4.58,-81.27,78.8,54,0,18.34,PE,1605983262
Codrington,-38.27,141.97,63.43,77,95,4.61,AU,1605983263
Benguela,-12.58,13.41,76.5,73,70,8.57,AO,1605983264
Port Moresby,-9.44,147.18,77.0,94,75,8.05,PG,1605983165
Cap Malheureux,-19.98,57.61,73.0,72,33,3.0,MU,1605983266
Narathiwat,6.33,101.75,78.8,94,40,2.24,TH,1605983267
Port Hardy,50.7,-127.42,44.6,87,90,19.46,CA,1605983268
Vestmannaeyjar,63.44,-20.27,39.2,80,75,12.75,IS,1605982745
Kutum,14.2,24.67,68.54,27,41,13.44,SD,1605983271
Lashio,22.93,97.75,56.01,95,0,0.96,MM,1605983272
Kita,13.03,-9.49,84.78,20,0,2.28,ML,1605983273
Timizart,36.8,4.27,50.34,81,25,10.29,DZ,1605983275
Gizo Government Station,-8.1,156.84,82.18,73,87,7.16,SB,1605983276
Poum,-20.23,164.02,74.62,78,76,11.54,NC,1605983277
Mehamn,71.04,27.85,28.49,94,100,28.7,NO,1605983279
Muros,42.78,-9.06,54.0,86,0,1.01,ES,1605983280
Lavrentiya,65.58,-171.0,26.46,93,100,15.77,RU,1605983281
Skellefteå,64.75,20.95,35.01,100,100,6.93,SE,1605983283
Vallenar,-28.57,-70.76,89.28,11,0,11.68,CL,1605983284
Tegul'det,57.31,88.17,20.61,96,100,10.22,RU,1605982811
Srednekolymsk,67.45,153.68,2.21,94,100,5.23,RU,1605983286
Turukhansk,65.82,87.98,29.48,98,100,21.52,RU,1605983287
Novomykolayivka,47.98,35.91,30.2,86,75,2.24,UA,1605983289
Coquimbo,-29.95,-71.34,68.0,52,0,14.99,CL,1605983290
Livezile,47.18,24.57,31.87,88,4,3.49,RO,1605983291
Dariba,24.95,74.13,57.54,35,0,2.75,IN,1605983239
Turki,51.99,43.27,23.67,86,99,8.93,RU,1605983293
Opuwo,-18.06,13.84,80.08,28,25,14.76,NA,1605983295
Harboøre,56.62,8.18,48.99,90,93,1.01,DK,1605983296
Saint George,37.1,-113.58,59.0,30,1,3.36,US,1605982766
Ketchikan,55.34,-131.65,41.0,93,90,34.45,US,1605983298
San Policarpo,12.18,125.51,80.71,84,94,15.05,PH,1605982712
Fuengirola,36.54,-4.62,63.0,77,40,10.29,ES,1605983220
Empório,40.48,21.55,46.99,52,100,5.82,GR,1605983301
Örnsköldsvik,63.29,18.72,33.8,100,83,3.36,SE,1605983302
Contamana,-7.33,-75.02,94.15,40,95,3.98,PE,1605983303
Hofn,64.25,-15.21,40.41,68,100,13.33,IS,1605983305
Sázava,49.87,14.9,34.0,90,0,5.82,CZ,1605983306
Sunrise Manor,36.21,-115.07,66.0,25,1,3.33,US,1605983307
Bereda,43.27,-7.54,54.0,97,0,1.01,ES,1605983308
Berlevåg,70.86,29.09,29.7,93,100,26.33,NO,1605983310
Jijiga,9.35,42.8,58.35,64,15,9.13,ET,1605983311
Dawlatabad,36.41,64.91,38.21,68,87,6.24,AF,1605983312
Kudat,6.88,116.85,82.0,88,20,3.36,MY,1605983313
Matagami,49.75,-77.63,19.4,79,90,8.05,CA,1605983314
Marovoay,-16.1,46.63,84.2,79,20,11.41,MG,1605983316
Raudeberg,61.99,5.14,46.4,65,100,32.21,NO,1605983317
Wonthaggi,-38.6,145.59,63.0,89,96,2.82,AU,1605983318
Norman Wells,65.28,-126.83,-16.6,75,20,3.36,CA,1605983319
Mackay,-21.15,149.2,69.8,73,75,5.82,AU,1605982909
Sānchor,24.76,71.77,67.12,24,0,7.65,IN,1605983321
Margate,51.38,1.39,53.01,76,94,3.0,GB,1605983322
Ashtabula,41.7,-80.77,44.01,60,90,5.82,US,1605983148
Pitimbu,-7.47,-34.81,86.0,62,40,10.29,BR,1605983325
Ayan,56.45,138.17,5.16,88,62,14.25,RU,1605983326
Naze,28.37,129.48,66.2,93,20,2.24,JP,1605982893
Biak,-0.91,122.88,77.54,80,94,3.38,ID,1605983328
Mukhen,48.1,136.1,18.3,90,99,11.03,RU,1605983329
Tinglev,54.93,9.25,50.0,93,100,27.51,DK,1605983330
Vilyuysk,63.76,121.62,3.38,94,91,5.44,RU,1605983331
Tiassalé,5.9,-4.83,76.51,92,78,4.09,CI,1605983136
Mahébourg,-20.41,57.7,71.6,83,20,5.82,MU,1605983333
Henties Bay,-22.12,14.28,62.01,85,19,6.31,NA,1605983334
Karratha,-20.74,116.85,75.33,71,52,3.29,AU,1605983335
Tual,-5.67,132.75,84.31,72,100,7.38,ID,1605982866
Nova Odesa,47.31,31.79,34.59,86,100,7.58,UA,1605983337
Ferrol,43.48,-8.24,55.4,87,0,1.12,ES,1605983338
Dali,25.7,100.18,47.52,83,2,4.21,CN,1605983339
Macas,-2.32,-78.12,80.6,51,40,5.82,EC,1605983340
Chardara,41.25,67.97,28.96,89,100,11.16,KZ,1605983342
Menongue,-14.66,17.69,64.27,90,98,2.95,AO,1605983343
Pisco,-13.7,-76.22,70.0,72,20,11.41,PE,1605983344
Manggar,-2.88,108.27,80.56,79,100,3.6,ID,1605983345
Saint-François,46.42,3.91,36.0,86,0,2.24,FR,1605983346
Kaeo,-35.1,173.78,55.0,96,73,1.99,NZ,1605983347
Tevaitoa,-16.78,-151.5,80.42,72,52,9.22,PF,1605983348
Hirado,33.36,129.55,57.0,49,25,3.0,JP,1605983349
Chhāpar,27.82,74.4,55.11,38,0,2.71,IN,1605983350
Kavaratti,10.57,72.64,82.54,69,81,3.29,IN,1605982785
Kanniyākumāri,8.08,77.57,80.73,68,69,14.29,IN,1605983352
Sørland,67.67,12.69,41.0,86,75,26.4,NO,1605983353
Mosquera,4.71,-74.23,68.0,37,75,8.05,CO,1605983354
Tucuruí,-3.77,-49.67,86.95,67,48,3.67,BR,1605983284
Fallon,39.47,-118.78,39.99,59,1,3.8,US,1605983357
Bela,25.93,81.98,60.67,36,0,6.22,IN,1605983358
Morehead,37.27,-87.18,66.2,63,90,3.85,US,1605983359
Port Lincoln,-34.73,135.87,67.6,60,69,13.53,AU,1605983360
Werda,-25.27,23.28,74.14,65,68,12.77,BW,1605983361
Kiryat Gat,31.61,34.76,60.01,100,13,1.01,IL,1605983362
Ostrovnoy,68.05,39.51,29.12,95,66,17.43,RU,1605983363
Concordia,-31.39,-58.02,84.2,32,40,6.93,AR,1605983364
Sisimiut,66.94,-53.67,24.06,90,100,14.92,GL,1605983365
Kousséri,12.08,15.03,80.6,26,16,5.82,CM,1605983366
Vila,42.03,-8.16,55.0,65,0,2.28,PT,1605983367
Marawi,8.0,124.29,73.99,89,34,7.0,PH,1605983368
Visby,57.64,18.3,48.0,87,100,27.51,SE,1605983369
Sambava,-14.27,50.17,75.79,82,0,3.56,MG,1605983371
Vaitape,-16.52,-151.75,80.85,71,55,9.4,PF,1605983372
Chifeng,42.27,118.96,9.16,90,90,3.69,CN,1605983373
Domoni,-12.26,44.53,79.12,78,7,4.65,KM,1605983374
Chaohu,31.6,117.87,46.0,93,90,13.42,CN,1605983375
Thunder Bay,48.4,-89.32,28.0,63,90,2.24,CA,1605983376
Portland,45.52,-122.68,43.0,100,90,8.05,US,1605982799
Vacha,55.8,42.77,24.37,86,100,7.54,RU,1605983378
Barra de Tecoanapa,16.52,-98.75,86.16,61,12,9.44,MX,1605983379
Terrace,54.52,-128.6,28.4,92,90,4.7,CA,1605983338
Nome,64.5,-165.41,30.2,54,1,19.46,US,1605983381
Jieshou,33.26,115.36,42.87,83,100,14.5,CN,1605983382
Lyngseidet,69.58,20.22,32.0,93,75,32.21,NO,1605983383
Esna,25.29,32.55,66.2,55,0,3.36,EG,1605983384
Carutapera,-1.2,-46.02,87.04,59,15,9.57,BR,1605983385
